"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","AGGRAVATED CHILD ABUSE",0.41,0.3,0.23,0.19,0.07,0.07
"2","WILLFUL CHILD ABUSE",0.25,0.36,0.39,0.42,0.31,0.3
"3","CHILD NEGLECT",0.19,0.17,0.22,0.22,0.08,0.19
"4","CHILD NEGLCT-GRT.BODILY HARM",0.07,0.05,0.02,0.02,0.02,0.04
"5","ABUSE CHILD",0.06,0.07,0.06,0.07,0.02,0.15
"6","NEGLECT CHILD",0.02,0.02,0.01,0.02,0.02,0.04
"7","NEGLCT CHILD W/GR.BOD.HARM",0.02,0.02,0.01,0.02,0.02,0.04
"8","CHILD ABUSE-INJ/NEGLECT",0.01,0.01,0.02,0.02,0.05,0.04
"9","ABUSE CHILD-INJURY",0.01,0.01,0.02,0.02,0.02,0.04
"10","ABUSE ELDER/DISABLD",0.01,0.01,0.04,0.03,0.02,0.07
