"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","BURGLARY,ARMED W/EXP. OR WEAPO",0.24,0.19,0.14,0.12,0.11,0.07
"2","BURGUNOCCSTRUC/CV OR ATT.",0.22,0.24,0.26,0.25,0.3,0.31
"3","GRAND THEFT MOTOR VEHICLE",0.22,0.2,0.2,0.21,0.19,0.16
"4","BURGLARY ASSAULT ANY PERSON",0.18,0.14,0.13,0.13,0.1,0.09
"5","GRAND THEFT,300 L/5,000",0.16,0.21,0.2,0.21,0.22,0.22
"6","BURG/DWELL/OCCUP.CONVEY",0.12,0.25,0.23,0.23,0.25,0.24
"7","TRAFFIC IN STOLEN PROPERTY",0.1,0.14,0.15,0.16,0.13,0.14
"8","GRAND THEFT FIREARM",0.09,0.07,0.06,0.05,0.06,0.03
"9","BURGL UNOCC DWELLING",0.08,0.09,0.07,0.08,0.08,0.07
"10","CRIMINAL MISCHIEF/PROP.DAMAGE",0.06,0.06,0.05,0.05,0.05,0.04
