"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","BATT.LEO/FIRFGT/EMS/ETC.",0.16,0.14,0.12,0.12,0.12,0.12
"2","FLEE LEO/NO REGARD",0.15,0.17,0.14,0.17,0.15,0.14
"3","RESISTING OFFICER W/VIOLEN.",0.14,0.13,0.11,0.12,0.1,0.12
"4","2-WAY COMM.-COMMIT FELONY",0.13,0.08,0.07,0.06,0.06,0.04
"5","WILLFUL FLEE/ELUDE LEO",0.09,0.1,0.1,0.1,0.11,0.1
"6","FLEE/ELUDE LEO-FELONY",0.08,0.09,0.09,0.1,0.1,0.09
"7","AGG.ASSLT/LEO/FIREFGT/EMS/ETC.",0.07,0.05,0.05,0.05,0.05,0.05
"8","BATTERY BY DETAINEE",0.06,0.06,0.04,0.04,0.04,0.03
"9","SX OFFNDR FAIL COMPLY PSIA",0.05,0.08,0.07,0.12,0.1,0.15
"10","ESCAPE",0.04,0.08,0.07,0.09,0.06,0.04
