"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","DUI MANSLAUGHTER",0.41,0.14,0.08,0.04,0.02,0.03
"2","LEAVE CRASH W/DEATH",0.19,0.08,0.05,0.04,0.01,0.02
"3","DUI,CAUSE SERIOUS BODILY INJRY",0.15,0.06,0.04,0.05,0.02,0.02
"4","DRIV W/LIC S/R/C/D FELONY",0.09,0.34,0.42,0.39,0.42,0.47
"5","LVE CRASH OTHR THAN SER INJ",0.07,0.09,0.08,0.08,0.06,0.05
"6","DRIV.W/O LIC.INJ/DEATH",0.07,0.04,0.03,0.03,0.02,0
"7","FELONY DWLSR",0.06,0.19,0.25,0.37,0.29,0.33
"8","LEAVE CRASH W/SERIOUS INJ",0.06,0.05,0.04,0.03,0.02,0.02
"9","FELONY DUI 4TH/SUBS.CONV.",0.04,0.04,0.05,0.03,0.06,0.07
"10","RECKLESS DRIVE-BODILY INJ.",0.04,0.02,0.02,0.02,0.03,0.01
