"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","FEL/DELI W/GUN/CONC WPN/AMMO",0.49,0.76,0.74,0.67,0.65,0.6
"2","CARRYING CONCEALED FIREARM",0.16,0.08,0.07,0.07,0.06,0.04
"3","SHOOT/THROW MISSILE-BLDG/VEH.",0.14,0.07,0.06,0.06,0.05,0.03
"4","OBSTRUCT CRIME INVESTIGATION",0.08,0.05,0.06,0.09,0.09,0.11
"5","SEND MINOR HARMFUL INFO.",0.02,0.01,0,0,0,0
"6","THREATENS TO USE ANY FIREARM",0.02,0.01,0.01,0.01,0.01,0.01
"7","AGG.STALK-VIOL.COURT ORDER",0.02,0.01,0.01,0.02,0.02,0.02
"8","WRITTEN THREATS KILL/INJ",0.02,0.01,0.02,0.02,0.01,0.01
"9","INTIMIDATE/FORCE WITNESS",0.01,0.01,0.01,0.01,0.01,0.02
"10","SEX OFF, FALSE INFO/OMIT",0.01,0.01,0.02,0.03,0.04,0.06
