"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","SEX BAT BY ADULT/VCTM LT 12",0.33,0.21,0.2,0.19,0.15,0.16
"2","SEX BAT/MINOR,FAM/CUST AUTH",0.16,0.08,0.07,0.11,0.09,0.1
"3","POSS PHOTO ETC CHILD SEX PERF",0.14,0.08,0.05,0.04,0.03,0.03
"4","SEX BAT/ WPN. OR FORCE",0.11,0.2,0.24,0.27,0.26,0.24
"5","L&L BATT MINOR",0.09,0.07,0.07,0.04,0.03,0.04
"6","L/L, INDEC.ASLT CHILD U/16",0.04,0.05,0.05,0.05,0.06,0.05
"7","L/L BATT.SEX W/V12-15",0.04,0.1,0.06,0.07,0.05,0.04
"8","SEX BAT/INJURY NOT LIKELY",0.04,0.08,0.1,0.13,0.12,0.14
"9","ADLT SEX W/16-17 YR OLD",0.04,0.04,0.05,0.06,0.1,0.09
"10","TRVL MET MINOR INTERNET SO,L&L",0.04,0.03,0.02,0.01,0.01,0
