"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","ROBB. GUN OR DEADLY WPN",0.24,0.28,0.27,0.24,0.22,0.16
"2","1ST DG MUR/PREMED. OR ATT.",0.21,0.13,0.11,0.1,0.08,0.05
"3","2ND DEG.MURD,DANGEROUS ACT",0.18,0.12,0.1,0.09,0.08,0.08
"4","AGG ASSLT-W/WPN NO INTENT TO K",0.1,0.11,0.12,0.12,0.12,0.12
"5","AGG BATTERY/W/DEADLY WEAPON",0.09,0.1,0.1,0.11,0.1,0.11
"6","BURGLARY ASSAULT ANY PERSON",0.07,0.08,0.09,0.09,0.09,0.09
"7","ROBB. NO GUN/DDLY.WPN",0.05,0.11,0.14,0.16,0.2,0.2
"8","KIDNAP;COMM.OR FAC.FELONY",0.05,0.05,0.06,0.05,0.05,0.04
"9","SEX BAT/ WPN. OR FORCE",0.04,0.04,0.04,0.04,0.03,0.03
"10","FALS.IMPRSN-NO 787.01 INT",0.04,0.04,0.05,0.05,0.05,0.05
