"","crime","First Commit.","Second Commit.","Third Commit.","Fourth Commit.","Fifth Commit.","Sixth+ Commit."
"1","FRAUD USE OF PERSONAL ID",0.22,0.27,0.22,0.27,0.27,0.26
"2","FRAUD-CREDIT-CARD",0.2,0.25,0.24,0.27,0.2,0.28
"3","UTTER FORGED INSTRUMENT",0.12,0.13,0.21,0.23,0.18,0.19
"4","RACKETEERING",0.1,0.06,0.05,0.04,0.04,0.02
"5","CONS.TO VIO.RACKTEERING LAW",0.09,0.07,0.04,0.03,0.01,0.01
"6","UTTERING FORGED BILLS",0.07,0.1,0.13,0.11,0.11,0.16
"7","ILL.POSS.CREDIT/DEBIT CARD",0.07,0.07,0.04,0.06,0.1,0.06
"8","ACQUIRE PROP. F/RACKETEERING",0.07,0.06,0.04,0.02,0.04,0.01
"9","FORGERY/UTTERING",0.05,0.04,0.09,0.07,0.08,0.13
"10","UNAUTH POSS/USE OF DL/ID",0.04,0.03,0.03,0.05,0.06,0.05
